               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 160,            0.015588,            0.012524,           0.0039598,             0.65471,             0.83476,             0.74999,             0.55416,            0.015291,            0.011483,            0.015592,           0.0050765,           0.0050765,           0.0050765
                 161,            0.015525,            0.012296,           0.0041916,             0.62863,             0.89734,             0.72124,             0.53692,             0.01466,            0.011523,            0.015927,           0.0050296,           0.0050296,           0.0050296
                 162,            0.015722,            0.012079,           0.0034476,             0.73811,             0.67341,             0.71613,             0.52157,             0.01471,            0.011793,             0.01752,           0.0049828,           0.0049828,           0.0049828
                 163,            0.016101,            0.012924,           0.0043382,             0.62037,             0.88307,             0.74903,             0.55781,            0.013936,            0.011694,            0.017555,            0.004936,            0.004936,            0.004936
                 164,            0.016043,            0.013091,           0.0043869,             0.63904,             0.87421,             0.78357,             0.56761,              0.0149,            0.011381,            0.013959,           0.0048893,           0.0048893,           0.0048893
                 165,             0.01582,            0.012577,           0.0038645,             0.63435,             0.86974,             0.70214,             0.52072,            0.014638,            0.011347,            0.016316,           0.0048426,           0.0048426,           0.0048426
                 166,            0.015778,            0.012756,           0.0043572,             0.60308,             0.94381,             0.75494,             0.57031,            0.014321,            0.011113,            0.014176,            0.004796,            0.004796,            0.004796
                 167,            0.015524,            0.012519,           0.0047606,             0.63159,             0.90911,             0.79212,             0.57911,            0.014481,            0.011446,            0.011999,           0.0047495,           0.0047495,           0.0047495
                 168,            0.015693,            0.012316,           0.0042244,             0.87769,             0.61768,             0.82836,             0.62251,            0.014118,            0.011121,            0.010639,           0.0047031,           0.0047031,           0.0047031
                 169,            0.015271,            0.012078,           0.0041759,             0.65367,             0.86122,             0.80463,             0.61476,            0.013954,            0.011025,            0.013544,           0.0046568,           0.0046568,           0.0046568
